,Code,Test1,Test2,Test3,Test4,Test5,Test6,Test7,Test8,Test9,Test10,Test11,Test12,Test13,Test14,Test15,Test16,Test17,Test18,Test19,Test20,Test21,Test22,Test23,Test24,Test25,Coverage
53,"return {""valid_action_sequence"": False, ""final_position"": (6, 1)}",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
56,"if current_position == (6, 4) and get_next_action(actions) == ""east"":",0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22
57,"current_position = move(current_position, ""east"")",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,"if current_position == (6, 5) and get_next_action(actions) == ""south"":",0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22
62,"return {""valid_action_sequence"": False, ""final_position"": (6, 5)}",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65,"if current_position == (3, 2) and get_next_action(actions) == ""east"":",0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21
66,"current_position = move(current_position, ""east"")",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
69,"if current_position == (3, 3) and get_next_action(actions) == ""east"":",0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21
71,"return {""valid_action_sequence"": False, ""final_position"": (3, 3)}",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
74,"if current_position == (1, 2) and get_next_action(actions) == ""west"":",0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,20
75,"current_position = move(current_position, ""west"")",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,"if current_position == (1, 1) and get_next_action(actions) == ""west"":",0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,20
80,"return {""valid_action_sequence"": False, ""final_position"": (1, 1)}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,"if current_position == (6, 1) and get_next_action(actions) == ""east"":",0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,20
84,"current_position = move(current_position, ""east"")",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
87,"if current_position == (6, 2) and get_next_action(actions) == ""east"":",0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,20
88,"current_position = move(current_position, ""east"")",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,"if current_position == (6, 3) and get_next_action(actions) == ""south"":",0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,20
93,"return {""valid_action_sequence"": False, ""final_position"": (6, 3)}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,"return {""valid_action_sequence"": True, ""final_position"": current_position}",0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,20
Col Sum,0,24,25,29,39,39,38,31,38,38,38,38,38,38,33,38,38,38,35,35,35,35,38,38,38,38,892
