,Code,Test1,Test2,Test3,Test4,Test5,Test6,Test7,Test8,Test9,Test10,Test11,Test12,Test13,Test14,Test15,Test16,Coverage
73,"current_position = move(current_position, ""south"")",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
76,"if current_position == (2, 2) and get_next_action(actions) == ""north"":",1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,12
77,"current_position = move(current_position, ""north"")",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
80,"if current_position == (1, 2) and get_next_action(actions) == ""east"":",1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,12
81,"current_position = move(current_position, ""east"")",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
84,"if current_position == (1, 3) and get_next_action(actions) == ""east"":",1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,12
85,"current_position = move(current_position, ""east"")",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
88,"if current_position == (1, 4) and get_next_action(actions) == ""north"":",1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,12
90,"return {""valid_action_sequence"": False, ""final_position"": (1, 4)}",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
92,"return {""valid_action_sequence"": True, ""final_position"": current_position}",1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,11
Col Sum,0,38,32,26,38,29,33,35,39,35,40,38,38,38,38,38,38,573
