,Code,Test1,Test2,Test3,Test4,Test5,Test6,Test7,Test8,Test9,Test10,Test11,Test12,Test13,Test14,Test15,Test16,Test17,Test18,Test19,Test20,Test21,Test22,Test23,Test24,Test25,Coverage
51,"return {""valid_action_sequence"": False, ""final_position"": (4, 6)}",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,"if current_position == (4, 1) and get_next_action(actions) == ""east"":",0,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,10
56,"return {""valid_action_sequence"": False, ""final_position"": (4, 1)}",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
59,"if current_position == (6, 2) and get_next_action(actions) == ""east"":",0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,9
60,"current_position = move(current_position, ""east"")",0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
63,"if current_position == (6, 3) and get_next_action(actions) == ""north"":",0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,9
64,"current_position = move(current_position, ""north"")",0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
67,"if current_position == (5, 3) and get_next_action(actions) == ""north"":",0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,9
68,"current_position = move(current_position, ""north"")",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
71,"if current_position == (4, 3) and get_next_action(actions) == ""west"":",0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,9
73,"return {""valid_action_sequence"": False, ""final_position"": (4, 3)}",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
75,"return {""valid_action_sequence"": True, ""final_position"": current_position}",0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,7
Col Sum,0,22,21,34,24,25,26,33,21,34,34,30,21,21,21,30,21,33,21,29,22,21,24,29,21,21,639
